#property,line_cd,station_cd1,station_cd2
495,11115,1111523,1111524
496,11115,1111524,1111525
497,11115,1111525,1111526
498,11115,1111526,1111527
499,11115,1111527,1111528
500,11115,1111528,1111529
501,11115,1111529,1111530
502,11115,1111530,1111531
503,11115,1111531,1111532
504,11115,1111532,1111533
505,11115,1111533,1111534
506,11115,1111534,1111535
507,11115,1111535,1111536
508,11115,1111536,1111537
509,11115,1111537,1111538
510,11115,1111538,1111539
511,11115,1111539,1111540
512,11115,1111540,1111541
513,11115,1111541,1111542
514,11115,1111542,1111543
515,11115,1111543,1111544
516,11115,1111544,1111545
517,11115,1111545,1111546
518,11115,1111546,1111547
519,11115,1111547,1111548
520,11115,1111548,1111549
521,11115,1111549,1111550
522,11115,1111550,1111551
523,11115,1111551,1111552
524,11115,1111552,1111553
525,11116,1111601,1111602
526,11116,1111602,1111603
527,11116,1111603,1111604
528,11116,1111604,1111605
529,11116,1111605,1111606
530,11116,1111606,1111607
531,11116,1111607,1111608
532,11116,1111608,1111609
533,11116,1111609,1111610
534,11116,1111610,1111611
535,11116,1111611,1111612
536,11116,1111612,1111613
537,11116,1111613,1111614
538,11116,1111614,1111615
539,11116,1111615,1111616
540,11116,1111616,1111617
541,11116,1111617,1111618
542,11116,1111618,1111619
543,11116,1111619,1111620
544,11116,1111620,1111621
545,11116,1111621,1111622
546,11116,1111622,1111623
547,11116,1111623,1111624
548,11116,1111624,1111625
549,11116,1111625,1111626
550,11116,1111626,1111627
551,11116,1111627,1111628
552,11116,1111628,1111629
553,11116,1111629,1111630
554,11116,1111630,1111631
555,11116,1111631,1111632
556,11116,1111632,1111633
557,11116,1111633,1111634
558,11116,1111634,1111635
559,11116,1111635,1111636
560,11116,1111636,1111637
561,11116,1111637,1111638
562,11116,1111638,1111639
563,11116,1111639,1111640
564,11116,1111640,1111641
565,11116,1111641,1111642
566,11117,1111701,1111702
567,11117,1111702,1111703
568,11117,1111703,1111704
569,11117,1111704,1111705
570,11117,1111705,1111706
571,11117,1111706,1111707
572,11117,1111707,1111708
573,11117,1111708,1111709
574,11117,1111709,1111710
575,11117,1111710,1111711
576,11117,1111711,1111712
577,11117,1111712,1111713
578,11117,1111713,1111714
579,11117,1111714,1111715
580,11117,1111715,1111716
581,11117,1111716,1111717
582,11117,1111717,1111718
583,11117,1111718,1111719
584,11117,1111719,1111720
585,11117,1111720,1111721
586,11117,1111721,1111722
587,11117,1111722,1111723
588,11117,1111723,1111724
589,11117,1111724,1111725
590,11117,1111725,1111726
591,11117,1111726,1111727
592,11117,1111727,1111728
593,11118,1111801,1111802
594,11118,1111802,1111806
595,11119,1111910,1111911
596,11119,1111911,1111912
597,11119,1111912,1111913
598,11119,1111913,1111914
599,11119,1111914,1111915
600,11119,1111915,1111916
601,11119,1111916,1111917
602,11119,1111917,1111918
603,11119,1111918,1111919
604,11119,1111919,1111920
605,11119,1111920,1111921
606,11119,1111921,1111922
607,11202,1120201,1120202
